Time,Actual,Explicit Euler,Simpletic Euler
0.0,150.0,150.0,150.0
0.005,150.0,150.0,150.0
0.01,150.0,150.0,150.0
0.015,150.0,150.0,150.0
0.02,150.0,150.0,150.0
0.024999999,150.0,150.0,150.0
0.029999997,150.0,150.0,150.0
0.034999996,150.0,150.0,150.0
0.039999995,150.0,150.0,150.0
0.044999994,150.0,150.0,150.0
0.049999993,150.0,150.0,150.0
0.054999992,150.0,150.0,150.0
0.05999999,150.0,150.0,150.0
0.06499999,150.0,150.0,150.0
0.06999999,150.0,150.0,150.0
0.074999996,150.0,150.0,150.0
0.08,150.0,150.0,150.0
0.085,150.0,150.0,150.0
0.09,150.0,150.0,150.0
0.095000006,150.0,150.0,150.0
0.10000001,150.0,150.0,150.0
0.10500001,150.0,150.0,150.0
0.110000014,150.0,150.0,150.0
0.11500002,150.0,150.0,150.0
0.12000002,150.0,150.0,150.0
0.12500001,150.0,150.0,150.0
0.13000001,150.0,150.0,150.0
0.135,150.0,150.0,150.0
0.14,150.0,150.0,150.0
0.145,150.0,150.0,150.0
0.14999999,150.0,150.0,150.0
0.15499999,150.0,150.0,150.0
0.15999998,150.0,150.0,150.0
0.16499998,150.0,150.0,150.0
0.16999997,150.0,150.0,150.0
0.17499997,150.0,150.0,150.0
0.17999996,150.0,150.0,150.0
0.18499996,150.0,150.0,150.0
0.18999995,150.0,150.0,150.0
0.19499995,150.0,150.0,150.0
0.19999994,150.0,150.0,150.0
0.20499994,150.0,150.0,150.0
0.20999993,150.0,150.0,150.0
0.21499993,150.0,150.0,150.0
0.21999992,150.0,150.0,150.0
0.22499992,150.0,150.0,150.0
0.22999991,150.0,150.0,150.0
0.23499991,150.0,150.0,150.0
0.2399999,150.0,150.0,150.0
0.2449999,150.0,150.0,150.0
0.2499999,150.0,150.0,150.0
0.2549999,150.0,150.0,150.0
0.2599999,150.0,150.0,150.0
0.2649999,150.0,150.0,150.0
0.2699999,150.0,150.0,150.0
0.2749999,150.0,150.0,150.0
0.27999988,150.0,150.0,150.0
0.28499988,150.0,150.0,150.0
0.28999987,150.0,150.0,150.0
0.29499987,150.0,150.0,150.0
0.29999986,150.0,150.0,150.0
0.30499986,150.0,150.0,150.0
0.30999985,150.0,150.0,150.0
0.31499985,150.0,150.0,150.0
0.31999984,150.0,150.0,150.0
0.32499984,150.0,150.0,150.0
0.32999983,150.0,150.0,150.0
0.33499983,150.0,150.0,150.0
0.33999982,150.0,150.0,150.0
0.34499982,150.0,150.0,150.0
0.34999982,150.0,150.0,150.0
0.3549998,150.0,150.0,150.0
0.3599998,150.0,150.0,150.0
0.3649998,150.0,150.0,150.0
0.3699998,150.0,150.0,150.0
0.3749998,150.0,150.0,150.0
0.3799998,150.0,150.0,150.0
0.38499978,150.0,150.0,150.0
0.38999978,150.0,150.0,150.0
0.39499977,150.0,150.0,150.0
0.39999977,150.0,150.0,150.0
0.40499976,150.0,150.0,150.0
0.40999976,150.0,150.0,150.0
0.41499975,150.0,150.0,150.0
0.41999975,150.0,150.0,150.0
0.42499974,150.0,150.0,150.0
0.42999974,150.0,150.0,150.0
0.43499973,150.0,150.0,150.0
0.43999973,150.0,150.0,150.0
0.44499972,150.0,150.0,150.0
0.44999972,150.0,150.0,150.0
0.45499972,150.0,150.0,150.0
0.4599997,150.0,150.0,150.0
0.4649997,150.0,150.0,150.0
0.4699997,150.0,150.0,150.0
0.4749997,150.0,150.0,150.0
0.4799997,150.0,150.0,150.0
0.4849997,150.0,150.0,150.0
0.48999968,150.0,150.0,150.0
0.49499968,150.0,150.0,150.0
0.49999967,150.0,150.0,150.0
0.5049997,150.0,150.0,150.0
0.5099997,150.0,150.0,150.0
0.5149997,150.0,150.0,150.0
0.5199997,150.0,150.0,150.0
0.5249997,150.0,150.0,150.0
0.5299997,150.0,150.0,150.0
0.53499967,150.0,150.0,150.0
0.53999966,150.0,150.0,150.0
0.54499966,150.0,150.0,150.0
0.54999965,150.0,150.0,150.0
0.55499965,150.0,150.0,150.0
0.55999964,150.0,150.0,150.0
0.56499964,150.0,150.0,150.0
0.56999964,150.0,150.0,150.0
0.57499963,150.0,150.0,150.0
0.5799996,150.0,150.0,150.0
0.5849996,150.0,150.0,150.0
0.5899996,150.0,150.0,150.0
0.5949996,150.0,150.0,150.0
0.5999996,150.0,150.0,150.0
0.6049996,150.0,150.0,150.0
0.6099996,150.0,150.0,150.0
0.6149996,150.0,150.0,150.0
0.6199996,150.0,150.0,150.0
0.6249996,150.0,150.0,150.0
0.6299996,150.0,150.0,150.0
0.6349996,150.0,150.0,150.0
0.63999957,150.0,150.0,150.0
0.64499956,150.0,150.0,150.0
0.64999956,150.0,150.0,150.0
0.65499955,150.0,150.0,150.0
0.65999955,150.0,150.0,150.0
0.66499954,150.0,150.0,150.0
0.66999954,150.0,150.0,150.0
0.67499954,150.0,150.0,150.0
0.67999953,150.0,150.0,150.0
0.6849995,150.0,150.0,150.0
0.6899995,150.0,150.0,150.0
0.6949995,150.0,150.0,150.0
0.6999995,150.0,150.0,150.0
0.7049995,150.0,150.0,150.0
0.7099995,150.0,150.0,150.0
0.7149995,150.0,150.0,150.0
0.7199995,150.0,150.0,150.0
0.7249995,150.0,150.0,150.0
0.7299995,150.0,150.0,150.0
0.7349995,150.0,150.0,150.0
0.7399995,150.0,150.0,150.0
