Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,291.66666,291.66666,291.66666,291.66666
0.005,291.66666,291.66666,291.6563,291.6563
0.01,291.6615,291.6563,291.63565,291.63562
0.015,291.646,291.63565,291.60464,291.60458
0.02,291.62018,291.60464,291.5633,291.5632
0.024999999,291.584,291.56332,291.51163,291.51147
0.029999997,291.53754,291.51166,291.44962,291.44937
0.034999996,291.48077,291.44968,291.3773,291.3769
0.039999995,291.41367,291.37738,291.29462,291.29404
0.044999994,291.33627,291.2948,291.20166,291.2008
0.049999993,291.2486,291.2019,291.0984,291.0972
0.054999992,291.1506,291.09872,290.98483,290.98322
0.05999999,291.04236,290.9853,290.861,290.85883
0.06499999,290.92386,290.8616,290.72687,290.72403
0.06999999,290.7951,290.72766,290.5825,290.57883
0.074999996,290.65613,290.5835,290.42786,290.42322
0.08,290.50693,290.4291,290.263,290.2572
0.085,290.34753,290.26453,290.08792,290.08075
0.09,290.17792,290.08975,289.90262,289.89386
0.095000006,289.9982,289.90482,289.70715,289.69653
0.10000001,289.8083,289.70972,289.5015,289.48874
0.10500001,289.60828,289.50452,289.2857,289.27048
0.110000014,289.3982,289.2892,289.05978,289.04172
0.11500002,289.17798,289.0638,288.82373,288.80243
0.12000002,288.94775,288.82837,288.5776,288.55258
0.12500001,288.70752,288.5829,288.3214,288.29218
0.13000001,288.45724,288.3274,288.05518,288.02118
0.135,288.19702,288.06192,287.77893,287.73956
0.14,287.92688,287.78647,287.4927,287.4473
0.145,287.6468,287.5011,287.19653,287.14432
0.14999999,287.35684,287.20584,286.89044,286.8306
0.15499999,287.05707,286.90073,286.57443,286.5061
0.15999998,286.74744,286.5858,286.24857,286.1708
0.16499998,286.42807,286.26105,285.91287,285.82468
0.16999997,286.09894,285.92654,285.5674,285.46765
0.17499997,285.76013,285.58234,285.2122,285.0997
0.17999996,285.41165,285.22845,284.84726,284.7208
0.18499996,285.05353,284.95535,284.56308,284.4213
0.18999995,284.68582,284.58224,284.17886,284.11078
0.19499995,284.3086,284.1996,283.78506,283.7892
0.19999994,283.92184,283.80743,283.38174,283.45657
0.20499994,283.52563,283.40582,282.9689,283.11282
0.20999993,283.12003,282.9948,282.54663,282.75793
0.21499993,282.70505,282.57443,282.11496,282.39188
0.21999992,282.28073,282.1627,281.69186,282.03256
0.22499992,281.84717,281.67575,281.19354,281.61404
0.22999991,281.40436,281.22757,280.73395,281.18423
0.23499991,280.9524,280.7702,280.26514,280.7431
0.2399999,280.4913,280.3037,279.78714,280.29062
0.2449999,280.02112,279.87012,279.342,279.86868
0.2499999,279.54193,279.38556,278.8459,279.4353
0.2549999,279.0538,278.89206,278.34076,278.99045
0.2599999,278.55673,278.37524,277.8123,278.51965
0.2649999,278.0508,277.864,277.28934,278.0373
0.2699999,277.53613,277.344,276.75757,277.54333
0.2749999,277.01266,276.81525,276.217,277.03772
0.27999988,276.48056,276.27783,275.66776,276.52042
0.28499988,275.93982,275.7318,275.10986,275.99136
0.28999987,275.3905,275.17725,274.5434,275.45053
0.29499987,274.8327,274.6142,273.9684,274.89786
0.29999986,274.26648,274.04276,273.38498,274.3333
0.30499986,273.69186,273.46295,272.79315,273.75684
0.30999985,273.10898,272.87488,272.193,273.1684
0.31499985,272.51782,272.27856,271.58456,272.56793
0.31999984,271.91852,271.6741,270.96796,271.95538
0.32499984,271.3111,271.06155,270.34323,271.33072
0.32999983,270.69562,270.441,269.71045,270.69388
0.33499983,270.0722,269.81253,269.0697,270.0448
0.33999982,269.4409,269.19345,268.43832,269.4007
0.34499982,268.80173,268.5493,267.78183,268.74423
0.34999982,268.15485,267.8974,267.11758,268.07535
0.3549998,267.50024,267.23785,266.44565,267.39398
0.3599998,266.83807,266.6423,265.83765,266.77164
0.3649998,266.16833,265.96768,265.15054,266.1367
0.3699998,265.49115,265.2856,264.456,265.48907
0.3749998,264.8066,264.59622,263.75406,264.82874
0.3799998,264.11475,263.89954,263.04483,264.1556
0.38499978,263.41565,263.26385,262.39658,263.5378
0.38999978,262.7094,262.55286,261.67294,262.90704
0.39499977,261.9961,261.8348,260.94223,262.2632
0.39999977,261.27582,261.1098,260.20453,261.60623
0.40499976,260.54865,260.3779,259.45993,260.936
0.40999976,259.8146,259.6392,258.7085,260.25244
0.41499975,259.07385,258.89377,257.95035,259.55545
0.41999975,258.32645,258.1417,257.18555,258.84494
0.42499974,257.57245,257.3831,256.41418,258.12085
0.42999974,256.81198,256.618,255.63637,257.38315
0.43499973,256.0451,255.84659,254.85217,256.63177
0.43999973,255.2719,255.06888,254.06169,255.86667
0.44499972,254.49248,254.28499,253.26501,255.08777
0.44999972,253.70691,253.495,252.46223,254.29501
0.45499972,252.91528,252.69897,251.65344,253.48834
0.4599997,252.1177,251.89703,250.83871,252.66766
0.4649997,251.31425,251.08925,250.01814,251.83289
0.4699997,250.505,250.27571,249.19182,250.98392
0.4749997,249.6901,249.45651,248.35985,250.12068
