Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,150.0,150.0,150.0,150.0
0.005,150.0,149.80537,149.80537,149.80537
0.01,149.80537,149.61075,149.61076,149.61076
0.015,149.61078,149.41614,149.4162,149.4162
0.02,149.41623,149.22157,149.2217,149.2217
0.024999999,149.22174,149.11276,149.11298,149.11296
0.029999997,149.02733,148.91835,148.91867,149.00433
0.034999996,148.83304,148.81242,148.81288,148.9842
0.039999995,148.63889,148.61826,148.61885,148.96422
0.044999994,148.44487,148.42422,148.425,148.94438
0.049999993,148.25104,148.23036,148.23134,148.92471
0.054999992,148.0574,148.0367,148.03789,148.90524
0.05999999,147.864,147.84325,147.84468,148.88599
0.06499999,147.67082,147.65004,147.65173,148.86696
0.06999999,147.4779,147.52286,147.52483,148.91394
0.074999996,147.28528,147.33018,147.33246,148.96118
0.08,147.09296,147.13782,147.14041,149.0087
0.085,146.90096,146.94577,146.94872,149.0565
0.09,146.7093,146.75406,146.75739,149.10463
0.095000006,146.51804,146.56271,146.56644,149.15309
0.10000001,146.32715,146.41896,146.42311,149.24911
0.10500001,146.13669,146.22841,146.233,149.3455
0.110000014,145.94666,146.01666,146.02173,149.42065
0.11500002,145.75708,145.82698,145.83255,149.4962
0.12000002,145.56798,145.63777,145.64386,149.57216
0.12500001,145.37938,145.44907,145.45569,149.64854
0.13000001,145.1913,145.3281,145.33528,149.7926
0.135,145.00377,145.21698,145.22476,150.01367
0.14,144.81679,145.02988,145.03827,150.23521
0.145,144.6304,144.84334,144.85237,150.45724
0.14999999,144.44463,144.6574,144.6671,150.67978
0.15499999,144.25946,144.47206,144.48247,150.90282
0.15999998,144.07495,144.28737,144.2985,151.12637
0.16499998,143.89111,144.10333,144.1152,151.35046
0.16999997,143.70795,143.8665,143.87914,151.52162
0.17499997,143.52551,143.6947,143.70815,151.70421
0.17999996,143.3438,143.51277,143.52704,151.88737
0.18499996,143.16283,143.33157,143.34671,152.07115
0.18999995,142.98264,143.15114,143.16716,152.25555
0.19499995,142.80322,142.97148,142.98842,152.4406
0.19999994,142.62463,142.79263,142.81052,152.6263
0.20499994,142.44687,142.61461,142.63347,152.81267
0.20999993,142.26996,142.43742,142.45729,152.99973
0.21499993,142.09392,142.2611,142.282,153.18748
0.21999992,141.91878,142.08565,142.10762,153.37596
0.22499992,141.74454,141.9111,141.93417,153.56519
0.22999991,141.57123,141.73747,141.76167,153.75517
0.23499991,141.39886,141.56479,141.59015,153.94594
0.2399999,141.22748,141.39305,141.41962,154.13751
0.2449999,141.05708,141.20763,141.23541,154.31523
0.2499999,140.8877,141.03787,141.06693,154.4938
0.2549999,140.71933,140.86914,140.89949,154.67325
0.2599999,140.552,140.70145,140.73312,154.85358
0.2649999,140.38576,140.5348,140.56784,155.03482
0.2699999,140.22058,140.36923,140.40367,155.21701
0.2749999,140.05652,140.20476,140.24063,155.40016
0.27999988,139.89357,140.04138,140.07874,155.5843
0.28499988,139.73175,139.82492,139.8638,155.71524
0.28999987,139.5711,139.66383,139.70425,155.84721
0.29499987,139.41162,139.5039,139.54591,155.98026
0.29999986,139.25334,139.34515,139.3888,156.1144
0.30499986,139.09627,139.1876,139.23291,156.24966
0.30999985,138.94043,139.03128,139.0783,156.3861
0.31499985,138.78583,138.87619,138.92494,156.52371
0.31999984,138.63249,138.72235,138.77289,156.66255
0.32499984,138.48044,138.56978,138.62215,156.80264
0.32999983,138.3297,138.4185,138.47273,156.94402
0.33499983,138.18025,138.26852,138.32468,157.0867
0.33999982,138.03215,138.11987,138.17798,157.23074
0.34499982,137.88539,138.00137,138.0615,157.405
0.34999982,137.73999,137.85541,137.91757,157.58069
0.3549998,137.59598,137.71082,137.77507,157.75784
0.3599998,137.45337,137.56761,137.634,157.93651
0.3649998,137.31216,137.42581,137.49438,158.11673
0.3699998,137.1724,137.28543,137.35623,158.29855
0.3749998,137.03407,137.14648,137.21956,158.48203
0.3799998,136.89722,137.09897,137.17436,158.75717
0.38499978,136.76183,136.96294,137.0407,159.03406
0.38999978,136.62793,136.82838,136.90855,159.31273
0.39499977,136.49554,136.69533,136.77797,159.59323
0.39999977,136.36469,136.56377,136.64894,159.87561
0.40499976,136.23535,136.43373,136.52148,160.15993
0.40999976,136.10757,136.30524,136.39561,160.44623
0.41499975,135.98137,136.1783,136.27135,160.73457
0.41999975,135.85674,135.95432,136.0501,160.9264
0.42499974,135.73369,135.83052,135.92908,161.12039
0.42999974,135.61226,135.70831,135.80971,161.31657
0.43499973,135.49246,135.5877,135.69199,161.51501
0.43999973,135.37428,135.4687,135.57594,161.71577
0.44499972,135.25775,135.35133,135.46158,161.91891
0.44999972,135.14288,135.23561,135.34892,162.1245
0.45499972,135.0297,135.20848,135.32492,162.41954
0.4599997,134.9182,135.09607,135.2157,162.71716
