Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,181.66667,181.66667,181.66667,181.66667
0.005,181.66667,181.66667,181.66873,181.66873
0.01,181.66771,181.66873,181.67287,181.67285
0.015,181.6708,181.67287,181.67906,181.67903
0.02,181.67596,181.67906,181.68733,181.68727
0.024999999,181.6832,181.68732,181.69766,181.69757
0.029999997,181.69249,181.69765,181.71005,181.70993
0.034999996,181.70386,181.71004,181.7245,181.72435
0.039999995,181.71727,181.72449,181.74103,181.74083
0.044999994,181.73274,181.741,181.75961,181.75937
0.049999993,181.75029,181.75957,181.78026,181.77997
0.054999992,181.76988,181.78018,181.80295,181.80263
0.05999999,181.79153,181.80286,181.8277,181.82735
0.06499999,181.81523,181.82758,181.85449,181.85411
0.06999999,181.84099,181.85434,181.88335,181.88292
0.074999996,181.86877,181.88315,181.91425,181.91377
0.08,181.89862,181.914,181.94719,181.94667
0.085,181.9305,181.94688,181.98218,181.98161
0.09,181.96442,181.9818,182.0192,182.01859
0.095000006,182.00037,182.01874,182.05824,182.05759
0.10000001,182.03835,182.05771,182.09932,182.09862
0.10500001,182.07834,182.0987,182.14243,182.14168
0.110000014,182.12036,182.1417,182.18755,182.18675
0.11500002,182.1644,182.1867,182.23468,182.23384
0.12000002,182.21045,182.23373,182.28383,182.28294
0.12500001,182.2585,182.28276,182.33498,182.33405
0.13000001,182.30855,182.33377,182.38812,182.38715
0.135,182.3606,182.38678,182.44327,182.44225
0.14,182.41463,182.44176,182.5004,182.49933
0.145,182.47064,182.49872,182.55951,182.5584
0.14999999,182.52863,182.55765,182.62059,182.61943
0.15499999,182.5886,182.61855,182.68364,182.68243
0.15999998,182.65051,182.6814,182.74866,182.7474
0.16499998,182.71439,182.74619,182.81563,182.81433
0.16999997,182.78021,182.81293,182.88455,182.88321
0.17499997,182.84798,182.88159,182.95541,182.95403
0.17999996,182.91768,182.95218,183.0282,183.02678
0.18499996,182.9893,183.02469,183.10292,183.10146
0.18999995,183.06284,183.0991,183.17955,183.17805
0.19499995,183.13829,183.17543,183.25809,183.25656
0.19999994,183.21564,183.25365,183.33853,183.33696
0.20499994,183.29488,183.33374,183.42085,183.41925
0.20999993,183.37599,183.41571,183.50507,183.50342
0.21499993,183.459,183.49954,183.59114,183.58946
0.21999992,183.54385,183.58524,183.67908,183.67737
0.22499992,183.63057,183.67276,183.76888,183.76712
0.22999991,183.71913,183.76213,183.86052,183.85872
0.23499991,183.80952,183.85332,183.954,183.95215
0.2399999,183.90175,183.94632,184.04929,184.0474
0.2449999,183.99577,184.04112,184.1464,184.14445
0.2499999,184.09161,184.13773,184.2453,184.24332
0.2549999,184.18924,184.23611,184.346,184.34396
0.2599999,184.28865,184.33627,184.44847,184.4464
0.2649999,184.38983,184.43819,184.55272,184.5506
0.2699999,184.49278,184.54185,184.65872,184.65656
0.2749999,184.59747,184.64725,184.76646,184.76425
0.27999988,184.70389,184.75436,184.87593,184.87369
0.28499988,184.81204,184.86319,184.98712,184.98485
0.28999987,184.9219,184.97372,185.10002,185.09772
0.29499987,185.03346,185.08594,185.21461,185.21228
