Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,150.0,150.0,150.0,150.0
0.005,150.0,149.80537,149.80537,149.80537
0.01,149.80537,149.61075,149.61078,149.61076
0.015,149.61078,149.41615,149.41621,149.4162
0.02,149.41623,149.22159,149.22173,149.2217
0.024999999,149.22174,149.0271,149.02731,149.02728
0.029999997,149.02733,148.83269,148.83302,148.83298
0.034999996,148.83304,148.6384,148.63885,148.63881
0.039999995,148.63889,148.44423,148.44484,148.4448
0.044999994,148.44487,148.25021,148.251,148.25096
0.049999993,148.25104,148.05638,148.05737,148.05733
0.054999992,148.0574,147.86275,147.86395,147.8639
0.05999999,147.864,147.66933,147.67078,147.67073
0.06499999,147.67082,147.47615,147.47786,147.47781
0.06999999,147.4779,147.28323,147.28523,147.28519
0.074999996,147.28528,147.0906,147.09291,147.09286
0.08,147.09296,146.89828,146.90091,146.90088
0.085,146.90096,146.70628,146.70926,146.70924
0.09,146.7093,146.51463,146.51799,146.51797
0.095000006,146.51804,146.32335,146.32712,146.3271
0.10000001,146.32715,146.13246,146.13666,146.13664
0.10500001,146.13669,145.94199,145.94662,145.94662
0.110000014,145.94666,145.75194,145.75705,145.75706
0.11500002,145.75708,145.56235,145.56796,145.56798
0.12000002,145.56798,145.37323,145.37938,145.3794
0.12500001,145.37938,145.18462,145.19131,145.19133
0.13000001,145.1913,144.99652,145.0038,145.00381
0.135,145.00377,144.80896,144.81685,144.81686
0.14,144.81679,144.62196,144.63048,144.6305
0.145,144.6304,144.43555,144.44472,144.44473
0.14999999,144.44463,144.24974,144.25958,144.2596
0.15499999,144.25946,144.06456,144.0751,144.07512
0.15999998,144.07495,143.88002,143.8913,143.89131
0.16499998,143.89111,143.69615,143.70818,143.70819
0.16999997,143.70795,143.51297,143.52577,143.52579
0.17499997,143.52551,143.33049,143.3441,143.34412
0.17999996,143.3438,143.14874,143.1632,143.1632
0.18499996,143.16283,142.96773,142.98305,142.98305
0.18999995,142.98264,142.78749,142.8037,142.8037
0.19499995,142.80322,142.60803,142.62517,142.62515
0.19999994,142.62463,142.42938,142.44748,142.44745
0.20499994,142.44687,142.25156,142.27065,142.2706
0.20999993,142.26996,142.07458,142.09468,142.09462
0.21499993,142.09392,141.89848,141.91962,141.91954
0.21999992,141.91878,141.72327,141.74547,141.74538
0.22499992,141.74454,141.54895,141.57227,141.57214
0.22999991,141.57123,141.37556,141.40001,141.39987
0.23499991,141.39886,141.20312,141.22873,141.22858
0.2399999,141.22748,141.03165,141.05846,141.05827
0.2449999,141.05708,140.86115,140.88919,140.88899
0.2499999,140.8877,140.69165,140.72096,140.72075
0.2549999,140.71933,140.52318,140.55379,140.55356
0.2599999,140.552,140.35574,140.38768,140.38744
0.2649999,140.38576,140.18936,140.22267,140.22241
0.2699999,140.22058,140.02406,140.05878,140.0585
0.2749999,140.05652,139.85985,139.89601,139.89572
0.27999988,139.89357,139.69675,139.73439,139.73409
0.28499988,139.73175,139.53477,139.57394,139.57362
0.28999987,139.5711,139.37396,139.41467,139.41435
0.29499987,139.41162,139.21431,139.2566,139.25629
0.29999986,139.25334,139.05585,139.09976,139.09944
0.30499986,139.09627,138.89857,138.94417,138.94383
0.30999985,138.94043,138.74252,138.78983,138.78947
0.31499985,138.78583,138.5877,138.63676,138.6364
0.31999984,138.63249,138.43414,138.48499,138.48462
0.32499984,138.48044,138.28186,138.33452,138.33415
0.32999983,138.3297,138.13086,138.18538,138.18501
0.33499983,138.18025,137.98116,138.0376,138.03722
0.33999982,138.03215,137.83278,137.89117,137.89078
0.34499982,137.88539,137.68573,137.74612,137.74571
0.34999982,137.73999,137.54004,137.60248,137.60204
0.3549998,137.59598,137.39572,137.46024,137.45978
0.3599998,137.45337,137.25278,137.31943,137.31895
0.3649998,137.31216,137.11124,137.18007,137.17958
0.3699998,137.1724,136.97112,137.04216,137.04167
0.3749998,137.03407,136.83241,136.90573,136.90524
0.3799998,136.89722,136.69516,136.7708,136.77031
0.38499978,136.76183,136.55937,136.63737,136.63689
0.38999978,136.62793,136.42505,136.50548,136.50499
0.39499977,136.49554,136.29222,136.3751,136.37463
0.39999977,136.36469,136.16089,136.24629,136.24583
0.40499976,136.23535,136.03108,136.11905,136.1186
0.40999976,136.10757,135.9028,135.9934,135.99297
0.41499975,135.98137,135.77608,135.86934,135.86893
0.41999975,135.85674,135.65091,135.74689,135.7465
0.42499974,135.73369,135.52731,135.62607,135.62572
0.42999974,135.61226,135.4053,135.50688,135.50658
0.43499973,135.49246,135.2849,135.38936,135.38908
0.43999973,135.37428,135.16609,135.2735,135.27325
0.44499972,135.25775,135.04892,135.15932,135.1591
0.44999972,135.14288,134.93338,135.04683,135.04665
0.45499972,135.0297,134.81949,134.93605,134.9359
0.4599997,134.9182,134.70726,134.827,134.82687
