Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,300.0,300.0,300.0,300.0
0.005,300.0,300.10107,300.08105,300.0811
0.01,300.09,300.18106,300.14105,300.14215
0.015,300.16,300.14447,300.08444,300.08664
0.02,300.2099,300.18442,300.10437,300.0111
0.024999999,300.2398,300.20435,300.10428,299.9156
0.029999997,300.24966,300.20422,300.08417,299.80008
0.034999996,300.23947,300.18405,300.04404,299.6646
0.039999995,300.20926,300.14386,299.98392,299.50922
0.044999994,300.159,300.08362,299.90378,299.33392
0.049999993,300.08868,300.00336,299.80368,299.13876
0.054999992,299.99832,299.90308,299.68362,298.92377
0.05999999,299.88803,299.78278,299.5436,298.689
0.06499999,299.7577,299.64252,299.3837,298.43448
0.06999999,299.60745,299.4823,299.20392,298.16028
0.074999996,299.43726,299.30215,299.0043,297.86646
0.08,299.2472,299.1021,298.78488,297.55307
0.085,299.0373,298.8822,298.5457,297.22018
0.09,298.8076,298.6425,298.28677,296.86786
0.095000006,298.55807,298.46414,298.0894,296.57733
0.10000001,298.2889,298.1849,297.7912,296.2675
0.10500001,298.00006,297.82907,297.41656,295.88147
0.110000014,297.6916,297.5105,297.07935,295.4763
0.11500002,297.3636,297.17236,296.72272,295.052
0.12000002,297.0161,296.81473,296.34674,294.6087
0.12500001,296.64926,296.43765,295.9515,294.14648
0.13000001,296.26306,295.9807,295.47656,293.60492
0.135,295.85764,295.565,295.04303,293.04465
0.14,295.433,295.1301,294.59048,292.46576
0.145,294.9893,294.67606,294.11902,291.86838
0.14999999,294.5266,294.203,293.62875,291.25262
0.15499999,294.04498,293.71103,293.11975,290.61862
0.15999998,293.5446,293.2002,292.59213,289.9665
0.16499998,293.02548,292.67062,292.046,289.29636
0.16999997,292.48773,292.1224,291.48145,288.60837
0.17499997,291.9315,291.65485,290.99777,288.00183
0.17999996,291.3569,291.06967,290.39673,287.3777
0.18499996,290.764,290.4662,289.7776,286.73605
0.18999995,290.15298,289.84448,289.1405,286.0771
0.19499995,289.52393,289.20468,288.4856,285.4009
0.19999994,288.87695,288.5469,287.813,284.70764
0.20499994,288.2122,287.87128,287.1228,283.99744
0.20999993,287.52982,287.17795,286.4152,283.27045
0.21499993,286.82993,286.46704,285.6903,282.5268
0.21999992,286.11267,285.7387,284.94827,281.76663
0.22499992,285.37817,284.99307,284.18927,280.9901
0.22999991,284.62662,284.2303,283.41342,280.1974
0.23499991,283.85815,283.4505,282.62088,279.3886
0.2399999,283.0729,282.65387,281.81183,278.56396
0.2449999,282.27103,281.84055,280.98642,277.7236
0.2499999,281.45273,281.0107,280.1448,276.8677
0.2549999,280.6181,280.1645,279.28717,275.99643
0.2599999,279.76736,279.30206,278.41367,275.10995
0.2649999,278.90067,278.4236,277.52448,274.20847
0.2699999,278.01822,277.5293,276.61978,273.29214
0.2749999,277.12012,276.6193,275.69977,272.36118
0.27999988,276.20663,275.6938,274.76462,271.41574
0.28499988,275.27792,274.75296,273.8145,270.45602
0.28999987,274.33414,273.86075,272.9134,269.54596
0.29499987,273.37546,272.88983,271.93393,268.62198
0.29999986,272.40213,271.90414,270.9401,267.68427
0.30499986,271.41434,270.90387,269.93207,266.733
0.30999985,270.41223,269.88922,268.91006,265.7684
0.31499985,269.39606,268.8604,267.87427,264.79065
0.31999984,268.366,267.81763,266.8249,263.79993
0.32499984,267.32227,266.76105,265.76215,262.79645
0.32999983,266.26508,265.69092,264.68625,261.7804
0.33499983,265.19464,264.60742,263.5974,260.75198
0.33999982,264.11118,263.5108,262.49588,259.71143
0.34499982,263.01486,262.40118,261.38177,258.65887
0.34999982,261.9059,261.27893,260.25546,257.5946
0.3549998,260.78467,260.1442,259.1171,256.51883
0.3599998,259.6512,258.99722,257.9669,255.43175
0.3649998,258.50583,257.8382,256.8051,254.33357
0.3699998,257.34875,256.6674,255.63197,253.22453
0.3749998,256.1802,255.485,254.4477,252.10484
0.3799998,255.00043,254.29129,253.25253,250.97473
0.38499978,253.80965,253.08647,252.04672,249.83443
0.38999978,252.6081,251.8708,250.8305,248.68416
0.39499977,251.39604,250.64452,249.60411,247.52415
0.39999977,250.17369,249.40785,248.3678,246.35464
