Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,150.0,150.0,150.0,150.0
0.005,150.0,149.5,149.5,149.5
0.01,149.50002,149.0,149.0001,149.0001
0.015,149.00014,148.5001,148.50041,148.50041
0.02,148.50044,147.96487,147.96547,147.96548
0.024999999,148.00107,147.46547,147.46648,147.43097
0.029999997,147.50209,146.96648,146.96799,146.89697
0.034999996,147.0036,146.46799,146.47011,146.3636
0.039999995,146.5057,145.97011,145.97293,145.83096
0.044999994,146.00853,145.47293,145.47656,145.29916
0.049999993,145.51215,144.97656,144.9811,144.76831
0.054999992,145.01665,144.4811,144.48663,144.23851
0.05999999,144.52216,143.98663,143.99327,143.70987
0.06499999,144.02876,143.49329,143.50111,143.18248
0.06999999,143.53656,142.906,142.91513,142.56133
0.074999996,143.04564,142.41516,142.42569,141.94167
0.08,142.55612,141.92574,141.93776,141.32362
0.085,142.06808,141.43782,141.45145,140.70732
0.09,141.58165,140.95152,140.96684,140.09288
0.095000006,141.09688,140.43379,140.4509,139.44728
0.10000001,140.6139,139.95102,139.97002,138.80379
0.10500001,140.1328,139.47015,139.49113,138.16254
0.110000014,139.65367,138.9913,139.01436,137.52365
0.11500002,139.1766,138.51456,138.53978,136.88727
0.12000002,138.7017,138.04001,138.06749,136.25351
0.12500001,138.22908,137.56776,137.59758,135.6225
0.13000001,137.75879,137.0979,137.13016,134.99435
0.135,137.29095,136.63052,136.66531,134.36922
0.14,136.82567,136.16574,136.20312,133.74721
0.145,136.363,135.70363,135.7437,133.12845
0.14999999,135.90308,135.24428,135.28712,132.51306
0.15499999,135.44597,134.78778,134.8335,131.90117
0.15999998,134.99178,134.33424,134.3829,131.2929
0.16499998,134.54057,133.88374,133.93544,130.68835
0.16999997,134.09247,133.43639,133.49118,130.08768
0.17499997,133.64754,132.99225,133.05022,129.49098
0.17999996,133.20589,132.55142,132.61266,128.89839
0.18499996,132.7676,132.114,132.17857,128.31003
0.18999995,132.33273,131.68007,131.74805,127.726006
0.19499995,131.90143,131.24971,131.32117,127.14644
0.19999994,131.47372,130.82301,130.89803,126.57144
0.20499994,131.04973,130.40007,130.47871,126.00113
0.20999993,130.62953,129.98096,130.0633,125.435616
0.21499993,130.21321,129.56577,129.65187,124.875015
0.21999992,129.80084,129.15459,129.2445,124.31944
0.22499992,129.3925,128.74748,128.84131,123.769005
