Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,300.0,300.0,300.0,300.0
0.005,300.0,300.0,299.98,299.98
0.01,299.99,299.98,299.94,299.94003
0.015,299.96002,299.94,299.88,299.88007
0.02,299.91,299.88,299.80005,299.8001
0.024999999,299.84003,299.80002,299.70013,299.7002
0.029999997,299.7501,299.70007,299.58026,299.58035
0.034999996,299.6402,299.58014,299.4405,299.44058
0.039999995,299.5104,299.44028,299.28082,299.2809
0.044999994,299.3607,299.2805,299.1013,299.10138
0.049999993,299.1911,299.10083,298.90195,298.90204
0.054999992,299.00165,298.9013,298.68283,298.68292
0.05999999,298.79245,298.68198,298.44397,298.44406
0.06499999,298.56345,298.44284,298.18542,298.18552
0.06999999,298.31476,298.184,297.90723,297.90735
0.074999996,298.0464,297.90546,297.60947,297.6096
0.08,297.75842,297.60727,297.29218,297.2923
0.085,297.4509,297.28952,296.95544,296.95554
0.09,297.1239,296.95224,296.5993,296.5994
0.095000006,296.77747,296.5955,296.22385,296.22394
0.10000001,296.41168,296.21936,295.82913,295.82922
0.10500001,296.0266,295.8239,295.41525,295.41534
0.110000014,295.6223,295.4092,294.9823,294.9824
0.11500002,295.1989,294.97534,294.53036,294.53046
0.12000002,294.75647,294.5224,294.0595,294.0596
0.12500001,294.29507,294.05048,293.56985,293.56995
0.13000001,293.81482,293.55963,293.06146,293.06158
0.135,293.31583,293.05,292.5345,292.5346
0.14,292.79816,292.52164,291.98898,291.98914
0.145,292.2619,291.97467,291.42508,291.42526
0.14999999,291.7072,291.40918,290.8429,290.8431
0.15499999,291.1342,290.82532,290.24255,290.2428
0.15999998,290.54294,290.22318,289.62415,289.62445
0.16499998,289.9336,289.60284,288.98782,288.9882
0.16999997,289.3062,288.96448,288.3337,288.33414
0.17499997,288.661,288.3082,287.66193,287.6624
0.17999996,287.99808,287.63412,286.9726,286.97314
0.18499996,287.31754,286.94238,286.26587,286.26648
0.18999995,286.61954,286.23312,285.5419,285.54257
0.19499995,285.9042,285.50647,284.8008,284.80154
0.19999994,285.1717,284.76257,284.0428,284.04355
0.20499994,284.42215,284.00156,283.26794,283.26874
0.20999993,283.65573,283.2236,282.47644,282.47726
0.21499993,282.87256,282.42883,281.66846,281.66928
0.21999992,282.07285,281.61743,280.84412,280.84497
0.22499992,281.25668,280.78955,280.00363,280.0045
0.22999991,280.4243,279.94534,279.14713,279.148
