Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,150.0,150.0,150.0,150.0
0.005,150.0,149.5,149.5,149.5
0.01,149.50002,149.0,149.0001,149.0001
0.015,149.00014,148.5001,148.50041,148.50041
0.02,148.50044,148.00041,148.001,148.00102
0.024999999,148.00107,147.501,147.50201,147.50203
0.029999997,147.50209,147.00201,147.00351,147.00354
0.034999996,147.0036,146.50351,146.50562,146.50565
0.039999995,146.5057,146.00562,146.0084,146.00845
0.044999994,146.00853,145.5084,145.51201,145.51205
0.049999993,145.51215,145.01201,145.0165,145.01656
0.054999992,145.01665,144.51651,144.52199,144.52205
0.05999999,144.52216,144.022,144.02858,144.02864
0.06499999,144.02876,143.5286,143.53636,143.53642
0.06999999,143.53656,143.03638,143.04544,143.0455
0.074999996,143.04564,142.54546,142.55591,142.55597
0.08,142.55612,142.05592,142.06786,142.06793
0.085,142.06808,141.56789,141.58139,141.58148
0.09,141.58165,141.08144,141.09662,141.09671
0.095000006,141.09688,140.59668,140.61362,140.61372
0.10000001,140.6139,140.11371,140.13249,140.13261
0.10500001,140.1328,139.63261,139.65335,139.65347
0.110000014,139.65367,139.15349,139.17627,139.1764
0.11500002,139.1766,138.67644,138.70135,138.7015
0.12000002,138.7017,138.20155,138.2287,138.22887
0.12500001,138.22908,137.72894,137.7584,137.75858
0.13000001,137.75879,137.2587,137.29056,137.29073
0.135,137.29095,136.7909,136.82526,136.82542
0.14,136.82567,136.32564,136.36258,136.36276
0.145,136.363,135.86304,135.90263,135.90283
0.14999999,135.90308,135.40317,135.44551,135.44572
0.15499999,135.44597,134.94612,134.9913,134.99153
0.15999998,134.99178,134.49199,134.54008,134.54034
0.16499998,134.54057,134.04088,134.09196,134.09225
0.16999997,134.09247,133.59286,133.64702,133.64735
0.17499997,133.64754,133.14804,133.20535,133.20572
0.17999996,133.20589,132.7065,132.76704,132.76744
0.18499996,132.7676,132.26833,132.33218,132.33261
0.18999995,132.33273,131.83362,131.90085,131.90132
0.19499995,131.90143,131.40245,131.47314,131.47365
0.19999994,131.47372,130.97491,131.04913,131.04968
0.20499994,131.04973,130.5511,130.62892,130.6295
0.20999993,130.62953,130.13109,130.21259,130.2132
0.21499993,130.21321,129.71497,129.8002,129.80084
0.21999992,129.80084,129.30283,129.39186,129.39253
0.22499992,129.3925,128.89474,128.98764,128.98834
