Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,320.0,320.0,320.0,320.0
0.005,320.0,320.0,319.96,319.96
0.01,319.98,319.96,319.88,319.88
0.015,319.92,319.87997,319.7601,319.76007
0.02,319.82004,319.75995,319.6003,319.60025
0.024999999,319.68015,319.5999,319.4007,319.4006
0.029999997,319.50034,319.3999,319.16135,319.16122
0.034999996,319.2807,319.15997,318.88235,318.8822
0.039999995,319.02133,318.88016,318.56384,318.56363
0.044999994,318.7223,318.61578,318.26117,318.2609
0.049999993,318.38364,318.25644,317.86392,317.91885
0.054999992,318.00555,317.85742,317.4275,317.5376
0.05999999,317.58813,317.41882,316.95206,317.11725
0.06499999,317.1315,316.9408,316.43777,316.65796
0.06999999,316.63583,316.42346,315.8848,316.15988
0.074999996,316.1013,315.86694,315.29337,315.62317
0.08,315.52805,315.27142,314.66367,315.048
0.085,314.91632,314.6371,313.9959,314.43457
0.09,314.26624,313.9641,313.29037,313.7831
0.095000006,313.57812,313.25272,312.54727,313.09387
0.10000001,312.8521,312.50314,311.76688,312.36713
0.10500001,312.0885,311.7156,310.94943,311.6031
0.110000014,311.2875,310.8903,310.0952,310.80203
0.11500002,310.44943,310.0841,309.26114,310.02084
0.12000002,309.57455,309.2078,308.35794,309.22687
0.12500001,308.66315,308.32797,307.45233,308.45386
0.13000001,307.7155,307.35422,306.45386,307.6448
0.135,306.732,306.34402,305.4201,306.79996
0.14,305.71286,305.2977,304.3514,305.9196
0.145,304.6585,304.2156,303.24814,305.00394
0.14999999,303.56927,303.09805,302.11066,304.0533
0.15499999,302.44553,301.9454,300.93933,303.068
0.15999998,301.28763,300.75803,299.73456,302.04828
0.16499998,300.09595,299.5363,298.49673,300.9945
0.16999997,298.87094,298.2806,297.22626,299.907
0.17499997,297.61295,296.99136,295.92358,298.78613
0.17999996,296.32245,295.66898,294.5891,297.63223
0.18499996,294.9998,294.2528,293.16226,296.3846
0.18999995,293.6455,292.86545,291.76562,295.1048
0.19499995,292.26,291.44632,290.33862,293.7932
0.19999994,290.84375,289.99588,288.88174,292.45035
0.20499994,289.3972,288.51462,287.39545,291.0767
0.20999993,287.92087,287.00302,285.88025,289.67276
0.21499993,286.41522,285.4616,284.33667,288.2391
0.21999992,284.88077,283.89087,282.7652,286.7763
0.22499992,283.31802,282.29135,281.16638,285.2849
0.22999991,281.7275,280.66357,279.54074,283.7655
0.23499991,280.10974,279.0081,277.8888,282.2187
0.2399999,278.4653,277.3254,276.21115,280.6451
0.2449999,276.79468,275.69846,274.59067,279.12775
0.2499999,275.09848,273.982,272.88205,277.6037
0.2549999,273.37723,272.22125,271.13055,276.0548
0.2599999,271.63153,270.4356,269.3556,274.48172
0.2649999,269.86194,268.62567,267.55774,272.8851
0.2699999,268.0691,266.79205,265.7376,271.26562
0.2749999,266.25354,264.93536,263.89578,269.624
0.27999988,264.4159,263.0562,262.03287,267.96088
0.28499988,262.5568,261.1552,260.14944,266.27695
0.28999987,260.67685,259.233,258.2462,264.57288
0.29499987,258.77664,257.29022,256.32367,262.84933
0.29999986,256.85687,255.32751,254.38255,261.10703
0.30499986,254.91815,253.34555,252.42346,259.34662
0.30999985,252.96112,251.34497,250.44705,257.56882
0.31499985,250.98643,249.32645,248.45398,255.7743
0.31999984,248.99475,247.29066,246.4449,253.96378
0.32499984,246.98672,245.2383,244.42044,252.1379
0.32999983,244.96306,243.17001,242.38127,250.29732
0.33499983,242.92441,241.08649,240.32805,248.44269
0.33999982,240.87143,238.98842,238.26144,246.57462
0.34499982,238.80484,236.87648,236.18211,244.69371
0.34999982,236.72531,234.80307,234.14244,242.85226
0.3549998,234.63354,232.66548,232.0397,240.99916
0.3599998,232.53024,230.56332,229.9735,239.18216
0.3649998,230.41608,228.40292,227.85011,237.35463
0.3699998,228.2918,226.2322,225.71745,235.51714
0.3749998,226.15807,224.07271,223.59708,233.69109
0.3799998,224.01561,221.88351,221.44798,231.85619
0.38499978,221.86517,219.68617,219.29175,230.01299
0.38999978,219.70743,217.53148,217.17912,228.21205
0.39499977,217.54314,215.32008,215.01073,226.40388
0.39999977,215.37299,213.10277,212.83733,224.589
0.40499976,213.19771,210.88028,210.65965,222.76794
0.40999976,211.01802,208.65337,208.47842,220.94122
0.41499975,208.83467,206.36803,206.23962,219.05461
0.41999975,206.64838,204.1345,204.05348,217.16338
0.42499974,204.45987,201.89883,201.866,215.26804
0.42999974,202.26988,199.66177,199.67789,213.36911
0.43499973,200.07912,197.42407,197.48988,211.46712
0.43999973,197.88834,195.18648,195.30272,209.56256
0.44499972,195.69827,192.94975,193.11713,207.65594
0.44999972,193.50963,190.71466,190.93384,205.74776
0.45499972,191.32315,188.48196,188.75359,203.83849
0.4599997,189.13957,186.25241,186.57709,201.9286
0.4649997,186.9596,184.02675,184.40508,200.01859
0.4699997,184.78398,181.80574,182.23828,198.10889
0.4749997,182.61343,179.59013,180.0774,196.19994
0.4799997,180.44868,177.38066,177.92314,194.29216
0.4849997,178.29045,175.17807,175.77626,192.38597
0.48999968,176.13945,172.98311,173.63745,190.48177
0.49499968,173.9964,170.79654,171.50743,188.57994
0.49999967,171.86203,168.6191,169.38693,186.6809
0.5049997,169.73703,166.45152,167.27667,184.78502
0.5099997,167.6221,164.29459,165.17737,182.8927
0.5149997,165.51799,162.14903,163.08972,181.00432
0.5199997,163.42535,160.01558,161.01443,179.12024
0.5249997,161.34491,157.89496,158.9522,177.24083
0.5299997,159.27737,155.7879,156.90369,175.36644
0.53499967,157.22339,153.69513,154.8696,173.4974
0.53999966,155.18369,151.61736,152.85063,171.63406
0.54499966,153.1589,149.5553,150.84746,169.77676
0.54999965,151.14975,147.50967,148.86075,167.92584
0.55499965,149.15686,145.4812,146.89116,166.08162
0.55999964,147.18092,143.47057,144.93936,164.24443
