Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,150.0,150.0,150.0,150.0
0.005,150.0,147.80911,147.80911,147.80911
0.01,147.80923,145.61823,145.61896,145.61896
0.015,145.61919,143.42807,143.43025,143.43027
0.02,143.43062,141.23938,141.24374,141.24376
0.024999999,141.24423,139.05287,139.06015,139.06017
0.029999997,139.06076,136.8693,136.88022,136.88023
0.034999996,136.88094,134.78229,134.79758,134.7976
0.039999995,134.70549,132.6068,132.62709,132.7201
0.044999994,132.53513,130.43639,130.46239,130.64838
0.049999993,130.3706,128.27179,128.30418,128.58315
0.054999992,128.21262,126.11375,126.15319,126.52509
0.05999999,126.06189,123.962975,124.010124,124.474915
0.06499999,123.91914,121.820206,121.87572,122.43331
0.06999999,121.785095,119.68617,119.75067,120.400986
0.074999996,119.66044,117.49024,117.564316,118.30726
0.08,117.5459,115.4092,115.493454,116.25756
0.085,115.442184,113.30569,113.40067,114.2192
0.09,113.34998,111.21377,111.32003,112.192856
0.095000006,111.270004,109.13415,109.25221,110.1792
0.10000001,109.20293,107.067535,107.19791,108.178894
0.10500001,107.14945,105.014626,105.1578,106.19261
0.110000014,105.11026,102.976135,103.13252,104.220985
0.11500002,103.08603,100.95271,101.12275,102.26464
0.12000002,101.07744,98.94505,99.12916,100.3242
0.12500001,99.08515,96.95385,97.152405,98.40031
0.13000001,97.10984,94.97979,95.19315,96.49358
0.135,95.15216,93.02355,93.25205,94.60466
0.14,93.21277,91.08581,91.329735,92.73416
0.145,91.2923,89.16722,89.42684,90.8827
0.14999999,89.39139,87.26845,87.544,89.05088
0.15499999,87.51069,85.39014,85.681854,87.239334
0.15999998,85.650826,83.59051,83.898575,85.506226
0.16499998,83.8124,81.84949,82.174034,83.888985
0.16999997,81.99604,80.03645,80.37755,82.293755
0.17499997,80.20235,78.24637,78.6041,80.721054
0.17999996,78.431915,76.47984,76.85428,79.17139
0.18499996,76.68534,74.73749,75.128654,77.64525
0.18999995,74.96321,73.0199,73.42776,76.143074
0.19499995,73.26609,71.327614,71.75218,74.66533
0.19999994,71.59454,69.66126,70.10247,73.21245
0.20499994,69.949135,68.0214,68.47917,71.78486
0.20999993,68.33041,66.504074,66.97829,70.47844
0.21499993,66.7389,64.918884,65.409355,69.19807
0.21999992,65.17515,63.3618,63.868366,67.94407
0.22499992,63.639664,61.83336,62.355827,66.71676
0.22999991,62.132973,60.334087,60.872242,65.51643
0.23499991,60.65557,58.864506,59.418102,64.343376
0.2399999,59.20794,57.425117,57.993866,63.197826
0.2449999,57.79058,56.0164,56.600006,62.080006
0.2499999,56.40396,54.638836,55.237007,60.990147
0.2549999,55.04853,53.292927,53.905334,59.928467
0.2599999,53.724747,51.979145,52.605408,58.895145
0.2649999,52.43306,50.697926,51.33766,57.890347
0.2699999,51.173897,49.449715,50.102528,56.914223
0.2749999,49.94767,48.2371,48.902565,55.96906
0.27999988,48.75479,47.0562,47.73388,55.05282
0.28499988,47.595673,45.98517,46.674618,54.241207
0.28999987,46.470673,44.873238,45.573944,53.4587
0.29499987,45.380188,43.796352,44.507824,52.70534
0.29999986,44.32457,42.75489,43.47662,51.98117
0.30499986,43.304184,41.749218,42.480682,51.28621
0.30999985,42.319366,40.77969,41.52031,50.620422
0.31499985,41.37043,39.846607,40.59583,49.983765
0.31999984,40.457703,38.9503,39.70756,49.376175
0.32499984,39.581497,38.091084,38.855824,48.797592
0.32999983,38.74208,37.269283,38.040913,48.247944
0.33499983,37.939766,36.485188,37.263172,47.727207
0.33999982,37.174805,35.739147,36.522884,47.235363
0.34499982,36.447433,35.03144,35.820312,46.772377
0.34999982,35.75792,34.362324,35.15571,46.33822
0.3549998,35.1065,33.732048,34.529312,45.932858
0.3599998,34.493355,33.140854,33.94139,45.55629
0.3649998,33.91873,32.589,33.392162,45.208515
