Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,320.0,320.0,320.0,320.0
0.005,320.0,320.0,319.96,319.96
0.01,319.98,319.96,319.88,319.88
0.015,319.92,319.87997,319.7601,319.76007
0.02,319.82004,319.75995,319.6003,319.60025
0.024999999,319.68015,319.5999,319.4007,319.4006
0.029999997,319.50034,319.3999,319.16135,319.16122
0.034999996,319.2807,319.15997,318.88235,318.8822
0.039999995,319.02133,318.88016,318.56384,318.56363
0.044999994,318.7223,318.56055,318.2059,318.20563
0.049999993,318.38364,318.2012,317.8087,317.80835
0.054999992,318.00555,317.80222,317.3723,317.37192
0.05999999,317.58813,317.36368,316.89697,316.8965
0.06499999,317.1315,316.88574,316.3828,316.3823
0.06999999,316.63583,316.36853,315.83002,315.82944
0.074999996,316.1013,315.8122,315.23877,315.23813
0.08,315.52805,315.2169,314.60928,314.60858
0.085,314.91632,314.5828,313.9418,313.941
0.09,314.26624,313.9101,313.2365,313.23566
0.095000006,313.57812,313.19897,312.49368,312.49277
0.10000001,312.8521,312.44968,311.71356,311.7126
0.10500001,312.0885,311.6624,310.89642,310.8954
0.110000014,311.2875,310.83743,310.04254,310.04144
0.11500002,310.44943,309.97498,309.15222,309.15106
0.12000002,309.57455,309.07532,308.22574,308.22452
0.12500001,308.66315,308.13873,307.26343,307.26215
0.13000001,307.7155,307.16553,306.2656,306.26425
0.135,306.732,306.15598,305.23257,305.23117
0.14,305.71286,305.1104,304.16473,304.16327
0.145,304.6585,304.02917,303.0624,303.06088
0.14999999,303.56927,302.9126,301.926,301.92438
0.15499999,302.44553,301.76105,300.75583,300.75415
0.15999998,301.28763,300.57486,299.55234,299.5506
0.16499998,300.09595,299.35443,298.31592,298.31412
0.16999997,298.87094,298.10016,297.04697,297.0451
0.17499997,297.61295,296.81244,295.7459,295.744
0.17999996,296.32245,295.4917,294.41318,294.4112
0.18499996,294.9998,294.13834,293.0492,293.04715
0.18999995,293.6455,292.7528,291.65442,291.6523
0.19499995,292.26,291.33557,290.2293,290.22714
0.19999994,290.84375,289.8871,288.77435,288.77213
0.20499994,289.3972,288.4078,287.29004,287.28772
0.20999993,287.92087,286.89822,285.77682,285.7744
0.21499993,286.41522,285.35883,284.23523,284.23273
0.21999992,284.88077,283.79013,282.66574,282.66315
0.22499992,283.31802,282.19263,281.06888,281.0662
0.22999991,281.7275,280.56686,279.4452,279.44238
0.23499991,280.10974,278.91336,277.7952,277.79227
0.2399999,278.4653,277.23267,276.11942,276.1164
0.2449999,276.79468,275.52533,274.41843,274.4153
0.2499999,275.09848,273.7919,272.69278,272.68958
0.2549999,273.37723,272.033,270.94305,270.93976
0.2599999,271.63153,270.24915,269.1698,269.1664
0.2649999,269.86194,268.44098,267.37363,267.37015
0.2699999,268.0691,266.60907,265.5551,265.55154
0.2749999,266.25354,264.75403,263.71484,263.7112
0.27999988,264.4159,262.8765,261.85342,261.84973
0.28499988,262.5568,260.97708,259.9715,259.9677
0.28999987,260.67685,259.0564,258.06964,258.0658
0.29499987,258.77664,257.1151,256.1485,256.1446
0.29999986,256.85687,255.15385,254.20872,254.20474
0.30499986,254.91815,253.17328,252.25093,252.24689
0.30999985,252.96112,251.17404,250.27577,250.27167
0.31499985,250.98643,249.15683,248.2839,248.27974
0.31999984,248.99475,247.1223,246.27597,246.27176
0.32499984,246.98672,245.07114,244.25264,244.24838
0.32999983,244.96306,243.00403,242.21458,242.21028
0.33499983,242.92441,240.92168,240.16248,240.15813
0.33999982,240.87143,238.82477,238.097,238.0926
0.34499982,238.80484,236.714,236.01883,236.01439
0.34999982,236.72531,234.5901,233.92865,233.92416
0.3549998,234.63354,232.45377,231.82716,231.82263
0.3599998,232.53024,230.30573,229.71507,229.7105
0.3649998,230.41608,228.14668,227.59306,227.58844
0.3699998,228.2918,225.97739,225.46185,225.45718
0.3749998,226.15807,223.79855,223.32214,223.31743
0.3799998,224.01561,221.61092,221.17464,221.16989
0.38499978,221.86517,219.41522,219.02007,219.01529
0.38999978,219.70743,217.2122,216.85913,216.85434
0.39499977,217.54314,215.00261,214.69257,214.68776
0.39999977,215.37299,212.78719,212.52109,212.51627
0.40499976,213.19771,210.56667,210.34543,210.34059
0.40999976,211.01802,208.34181,208.1663,208.16145
0.41499975,208.83467,206.11337,205.98445,205.97958
0.41999975,206.64838,203.88211,203.8006,203.79572
0.42499974,204.45987,201.64877,201.61546,201.61058
0.42999974,202.26988,199.41412,199.4298,199.42491
0.43499973,200.07912,197.17891,197.24431,197.23944
0.43999973,197.88834,194.9439,195.05975,195.0549
0.44499972,195.69827,192.70984,192.87685,192.87202
0.44999972,193.50963,190.47751,190.69633,190.69154
0.45499972,191.32315,188.24765,188.51894,188.51418
0.4599997,189.13957,186.02101,186.3454,186.34065
0.4649997,186.9596,183.79837,184.17644,184.1717
0.4699997,184.78398,181.58047,182.01279,182.00807
0.4749997,182.61343,179.36809,179.85516,179.85048
0.4799997,180.44868,177.16196,177.7043,177.69965
0.4849997,178.29045,174.96283,175.56093,175.55629
0.48999968,176.13945,172.77145,173.42575,173.42114
0.49499968,173.9964,170.5886,171.2995,171.29492
0.49999967,171.86203,168.415,169.18288,169.17834
0.5049997,169.73703,166.25139,167.0766,167.07211
0.5099997,167.6221,164.09853,164.98138,164.97694
0.5149997,165.51799,161.95714,162.89793,162.89354
0.5199997,163.42535,159.82796,160.82693,160.8226
0.5249997,161.34491,157.71172,158.76909,158.76482
0.5299997,159.27737,155.60915,156.7251,156.72087
0.53499967,157.22339,153.52098,154.69563,154.69145
0.53999966,155.18369,151.44792,152.68138,152.67725
0.54499966,153.1589,149.39069,150.68301,150.67892
0.54999965,151.14975,147.34999,148.70122,148.69716
0.55499965,149.15686,145.32654,146.73665,146.73262
0.55999964,147.18092,143.32103,144.78995,144.78596
