Time,Actual,Explicit Euler,Simpletic Euler,Verlet
0.0,150.0,150.0,150.0,150.0
0.005,150.0,147.80911,147.80911,147.80911
0.01,147.80923,145.61823,145.61896,145.61896
0.015,145.61919,143.42807,143.43025,143.43027
0.02,143.43062,141.23938,141.24374,141.24376
0.024999999,141.24423,139.05287,139.06015,139.06017
0.029999997,139.06076,136.8693,136.88019,136.88022
0.034999996,136.88094,134.68936,134.70459,134.70464
0.039999995,134.70549,132.51382,132.53409,132.53413
0.044999994,132.53513,130.3434,130.36938,130.36945
0.049999993,130.3706,128.17882,128.21121,128.21129
0.054999992,128.21262,126.020805,126.06028,126.06037
0.05999999,126.06189,123.870094,123.9173,123.917404
0.06499999,123.91914,121.7274,121.782974,121.7831
0.06999999,121.785095,119.59346,119.65802,119.65816
0.074999996,119.66044,117.46898,117.54314,117.54329
0.08,117.5459,115.35468,115.43902,115.439186
0.085,115.442184,113.25128,113.34637,113.34655
0.09,113.34998,111.159485,111.26587,111.26607
0.095000006,111.270004,109.08001,109.19821,109.198425
0.10000001,109.20293,107.01356,107.14408,107.14431
0.10500001,107.14945,104.96083,105.10415,105.10439
0.110000014,105.11026,102.92252,103.079094,103.07935
0.11500002,103.08603,100.89933,101.06958,101.069855
0.12000002,101.07744,98.89194,99.07627,99.07656
0.12500001,99.08515,96.90103,97.09983,97.10013
0.13000001,97.10984,94.92729,95.1409,95.14121
0.135,95.15216,92.97139,93.200134,93.200455
0.14,93.21277,91.03399,91.27817,91.278496
0.145,91.2923,89.11576,89.37564,89.37597
0.14999999,89.39139,87.217354,87.49317,87.49351
0.15499999,87.51069,85.339424,85.631386,85.63173
0.15999998,85.650826,83.48261,83.7909,83.79125
0.16499998,83.8124,81.64756,81.97233,81.97268
0.16999997,81.99604,79.83489,80.17626,80.17661
0.17499997,80.20235,78.045235,78.4033,78.40365
0.17999996,78.431915,76.2792,76.654015,76.65437
0.18499996,76.68534,74.5374,74.929,74.92937
0.18999995,74.96321,72.820435,73.22883,73.229195
0.19499995,73.26609,71.12889,71.554054,71.55442
0.19999994,71.59454,69.463356,69.905235,69.9056
0.20499994,69.949135,67.82441,68.28292,68.28329
0.20999993,68.33041,66.212616,66.68765,66.68802
0.21499993,66.7389,64.62853,65.11996,65.12032
0.21999992,65.17515,63.07271,63.58036,63.580723
0.22499992,63.639664,61.54568,62.069374,62.069733
0.22999991,62.132973,60.047985,60.5875,60.587856
0.23499991,60.65557,58.58014,59.13524,59.13559
0.2399999,59.20794,57.14265,57.71307,57.713417
0.2449999,57.79058,55.736023,56.321472,56.321815
0.2499999,56.40396,54.36075,54.96091,54.96125
0.2549999,55.04853,53.017303,53.631847,53.63218
0.2599999,53.724747,51.70616,52.334724,52.33505
0.2649999,52.43306,50.427776,51.069984,51.070297
0.2699999,51.173897,49.182602,49.83805,49.838352
0.2749999,49.94767,47.97107,48.63934,48.63963
0.27999988,48.75479,46.793606,47.47426,47.474537
0.28499988,47.595673,45.650627,46.343204,46.343468
0.28999987,46.470673,44.542538,45.246563,45.246807
0.29499987,45.380188,43.469727,44.184704,44.18493
0.29999986,44.32457,42.43257,43.157993,43.158195
0.30499986,43.304184,41.43144,42.166782,42.16696
0.30999985,42.319366,40.466686,41.21141,41.211567
0.31499985,41.37043,39.53866,40.29221,40.29234
0.31999984,40.457703,38.647682,39.409492,39.409595
0.32499984,39.581497,37.79408,38.56357,38.56364
0.32999983,38.74208,36.978153,37.754726,37.75477
0.33499983,37.939766,36.2002,36.98325,36.98326
0.33999982,37.174805,35.460495,36.24941,36.24939
0.34499982,36.447433,34.75931,35.55346,35.55341
0.34999982,35.75792,34.0969,34.89565,34.895565
0.3549998,35.1065,33.473507,34.276207,34.27609
0.3599998,34.493355,32.889355,33.69535,33.695198
0.3649998,33.91873,32.344666,33.15329,33.153103
